% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.234	1	5	24	5	78	28	549	0	0	1
0.235	1	4	24	6	44	28	549	0	0	0
0.235	1	4	24	6	44	28	549	0	0	1
0.236	1	11	24	7	1	28	549	0	0	0
0.236	1	11	24	7	1	28	549	0	0	1
0.237	1	8	24	8	83	28	549	0	0	0
0.237	1	8	24	8	83	28	549	0	0	1
0.238	1	7	24	9	52	28	549	0	0	0
0.238	1	7	24	9	52	28	549	0	0	1
0.239	1	3	24	10	10	28	549	0	0	0
0.239	1	3	24	10	10	28	549	0	0	1
0.24	1	13	25	1	87	28	549	0	0	0
0.24	1	13	25	1	87	28	549	0	0	1
0.241	1	12	25	2	59	28	549	0	0	0
0.241	1	12	25	2	59	28	549	0	0	1
0.242	1	6	25	3	20	28	549	0	0	0
0.242	1	6	25	3	20	28	549	0	0	1
0.243	1	2	25	4	90	28	549	0	0	0
0.243	1	2	25	4	90	28	549	0	0	1
0.244	1	15	25	5	92	28	549	0	0	0
0.244	1	15	25	5	92	28	549	0	0	1
0.245	1	9	25	6	65	28	549	0	0	0
0.245	1	9	25	6	65	28	549	0	0	1
0.246	1	10	25	7	31	28	549	0	0	0
0.246	1	10	25	7	31	28	549	0	0	1
0.247	1	14	25	8	72	28	549	0	0	0
0.247	1	14	25	8	72	28	549	0	0	1
0.248	1	1	25	9	39	28	549	0	0	0
0.248	1	1	25	9	39	28	549	0	0	1
0.249	1	5	25	10	78	28	549	0	0	0
0.249	1	5	25	10	78	28	549	0	0	1
0.25	1	4	26	1	44	28	549	0	0	0
0.25	1	4	26	1	44	28	549	0	0	1
0.251	1	11	26	2	1	28	549	0	0	0
0.251	1	11	26	2	1	28	549	0	0	1
0.252	1	8	26	3	83	28	549	0	0	0
0.252	1	8	26	3	83	28	549	0	0	1
0.253	1	7	26	4	52	28	549	0	0	0
0.253	1	7	26	4	52	28	549	0	0	1
0.254	1	3	26	5	10	28	549	0	0	0
0.254	1	3	26	5	10	28	549	0	0	1
0.255	1	13	26	6	87	28	549	0	0	0
