% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
201	2	11	1	0	20	161	0	1	1
202	1	12	59	0	20	161	0	1	0
202	1	9	65	0	20	161	0	1	0
202	2	6	20	0	20	161	0	1	1
202	2	3	10	0	20	161	0	1	1
203	1	5	78	0	20	161	0	1	0
203	1	14	72	0	20	161	0	1	0
203	2	1	39	0	20	161	0	1	1
203	2	10	31	0	20	161	0	1	1
204	1	8	83	0	20	161	0	1	0
204	1	13	87	0	20	161	0	1	0
204	2	7	52	0	20	161	0	1	1
204	2	4	44	0	20	161	0	1	1
205	1	2	90	0	20	161	0	1	0
205	1	15	92	0	20	161	0	1	0
205	2	9	65	0	20	161	0	1	1
205	2	12	59	0	20	161	0	1	1
206	1	3	10	0	20	161	0	1	0
206	1	11	1	0	20	161	0	1	0
206	2	5	78	0	20	161	0	1	1
206	2	14	72	0	20	161	0	1	1
207	1	10	31	0	20	161	0	1	0
207	1	6	20	0	20	161	0	1	0
207	2	8	83	0	20	161	0	1	1
207	2	13	87	0	20	161	0	1	1
208	1	1	39	0	20	161	0	1	0
208	1	4	44	0	20	161	0	1	0
208	2	2	90	0	20	161	0	1	1
208	2	15	92	0	20	161	0	1	1
209	1	12	59	0	20	161	0	1	0
209	1	7	52	0	20	161	0	1	0
209	2	3	10	0	20	161	0	1	1
209	2	11	1	0	20	161	0	1	1
210	1	9	65	0	20	161	0	1	0
210	1	14	72	0	20	161	0	1	0
210	2	6	20	0	20	161	0	1	1
210	2	10	31	0	20	161	0	1	1
211	1	8	83	0	20	161	0	1	0
211	1	5	78	0	20	161	0	1	0
211	2	1	39	0	20	161	0	1	1
211	2	4	44	0	20	161	0	1	1
212	1	2	90	0	20	161	0	1	0
212	1	13	87	0	20	161	0	1	0
212	2	7	52	0	20	161	0	1	1
212	2	12	59	0	20	161	0	1	1
213	1	11	1	0	20	161	0	1	0
213	1	15	92	0	20	161	0	1	0
213	2	9	65	0	20	161	0	1	1
213	2	14	72	0	20	161	0	1	1
214	1	3	10	0	20	161	0	1	0
214	1	6	20	0	20	161	0	1	0
214	2	5	78	0	20	161	0	1	1
214	2	8	83	0	20	161	0	1	1
215	1	1	39	0	20	161	0	1	0
215	1	10	31	0	20	161	0	1	0
215	2	2	90	0	20	161	0	1	1
215	2	13	87	0	20	161	0	1	1
216	1	4	44	0	20	161	0	1	0
216	1	7	52	0	20	161	0	1	0
216	2	15	92	0	20	161	0	1	1
216	2	11	1	0	20	161	0	1	1
217	1	12	59	0	20	161	0	1	0
217	1	9	65	0	20	161	0	1	0
217	2	6	20	0	20	161	0	1	1
217	2	3	10	0	20	161	0	1	1
218	1	5	78	0	20	161	0	1	0
218	1	14	72	0	20	161	0	1	0
218	2	1	39	0	20	161	0	1	1
218	2	10	31	0	20	161	0	1	1
219	1	8	83	0	20	161	0	1	0
219	1	13	87	0	20	161	0	1	0
219	2	7	52	0	20	161	0	1	1
219	2	4	44	0	20	161	0	1	1
220	1	2	90	0	20	161	0	1	0
220	1	15	92	0	20	161	0	1	0
220	2	9	65	0	20	161	0	1	1
220	2	12	59	0	20	161	0	1	1
221	1	3	10	0	20	161	0	1	0
221	1	11	1	0	20	161	0	1	0
